"channel","pitch","tick_on","tick_off","dur_ticks","velocity","nota_nombre","clase_pitch","fuera_escala_mayor","fuera_escala_menor","duracion_muy_corta","velocidad_anomala","intervalo_disonante"
0,49,217921,218162,241,52,"C#3",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,217921,218052,131,66,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,45,218162,218400,238,46,"A2",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,218162,218292,130,56,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,79,218400,218533,133,66,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,218521,218652,131,57,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,54,218640,218760,120,46,"F#3",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,76,218640,218773,133,57,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,73,218881,219013,132,68,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,74,219001,219132,131,56,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,55,219121,219360,239,46,"G3",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,219121,219253,132,55,"C#5",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,50,219600,219720,120,47,"D3",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,49,219841,220080,239,56,"C#3",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,219841,219973,132,68,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,45,220080,220320,240,49,"A2",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,220080,220212,132,56,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,79,220320,220452,132,70,"G5",7,TRUE,FALSE,FALSE,TRUE,TRUE
0,78,220441,220572,131,58,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,54,220560,220680,120,50,"F#3",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,76,220560,220692,132,58,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,73,220800,220920,120,79,"C#5",1,FALSE,TRUE,FALSE,TRUE,FALSE
0,78,221281,221401,120,74,"F#5",6,FALSE,FALSE,FALSE,TRUE,FALSE
0,73,221762,221880,118,77,"C#5",1,FALSE,TRUE,FALSE,TRUE,FALSE
0,78,222241,222360,119,77,"F#5",6,FALSE,FALSE,FALSE,TRUE,FALSE
0,74,222601,222721,120,64,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,73,222721,222811,90,69,"C#5",1,FALSE,TRUE,FALSE,TRUE,TRUE
0,76,222721,222811,90,84,"E5",4,FALSE,FALSE,FALSE,TRUE,FALSE
0,81,222960,223050,90,74,"A5",9,FALSE,FALSE,FALSE,TRUE,FALSE
0,81,223200,223290,90,74,"A5",9,FALSE,FALSE,FALSE,TRUE,FALSE
0,81,223441,223531,90,74,"A5",9,FALSE,FALSE,FALSE,TRUE,FALSE
0,81,223681,224101,420,74,"A5",9,FALSE,FALSE,FALSE,TRUE,FALSE
0,79,224101,224162,61,41,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,224162,224281,119,42,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,78,224401,224520,119,40,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,224520,224640,120,40,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,224640,224880,240,30,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,80,224640,224880,240,45,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,66,224880,225121,241,23,"F#4",6,FALSE,FALSE,FALSE,TRUE,FALSE
0,85,225842,226080,238,42,"C#6",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,226080,226320,240,29,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,79,227280,227521,241,40,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,227521,227762,241,34,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,79,227762,228000,238,42,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,57,228000,228240,240,30,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,78,228000,228240,240,45,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,67,228240,228480,240,28,"G4",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,76,228240,228480,240,42,"E5",4,FALSE,FALSE,FALSE,FALSE,TRUE
0,66,228480,228720,240,34,"F#4",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,74,228720,228960,240,44,"D5",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,228960,229200,240,30,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
0,77,229440,229681,241,50,"F5",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,59,229920,230160,240,29,"B3",11,FALSE,FALSE,FALSE,FALSE,TRUE
0,81,230100,230160,60,42,"A5",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,230160,230400,240,47,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,57,230400,230641,241,34,"A3",9,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,231122,231240,118,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,231240,231360,120,42,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,78,231600,231721,121,42,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,231840,231960,120,44,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,80,232081,232200,119,47,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,62,232320,232560,240,34,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,80,232320,232560,240,45,"G#5",8,FALSE,TRUE,FALSE,FALSE,TRUE
0,65,232560,232800,240,27,"F4",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,65,233280,233520,240,32,"F4",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,84,233520,233641,121,42,"C6",0,TRUE,FALSE,FALSE,FALSE,TRUE
0,62,233761,234001,240,29,"D4",2,TRUE,FALSE,FALSE,FALSE,TRUE
0,82,233761,233881,120,44,"A#5",10,TRUE,TRUE,FALSE,FALSE,FALSE
0,65,234001,234121,120,26,"F4",5,TRUE,TRUE,FALSE,FALSE,FALSE
0,70,234481,234720,239,28,"A#4",10,TRUE,TRUE,FALSE,FALSE,FALSE
0,79,235020,235081,61,37,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,78,235081,235141,60,37,"F#5",6,FALSE,FALSE,FALSE,FALSE,TRUE
0,79,235141,235201,60,37,"G5",7,TRUE,FALSE,FALSE,FALSE,TRUE
0,61,235201,235442,241,34,"C#4",1,FALSE,TRUE,FALSE,FALSE,TRUE
