"channel","pitch","tick_on","tick_off","dur_ticks","velocity"
0,61,36960,37200,240,30
0,61,38640,38880,240,27
0,61,39360,39601,241,32
0,61,40080,40200,120,26
0,61,43201,43680,479,30
0,61,49920,50040,120,39
0,61,51840,52320,480,41
0,61,52320,52440,120,35
0,61,52561,52680,119,29
0,61,55680,55800,120,37
0,61,56160,56280,120,45
0,61,56401,56520,119,37
0,61,58680,58801,121,41
0,61,58920,59040,120,41
0,61,59761,59881,120,36
0,61,60001,60121,120,35
0,61,60242,60360,118,29
0,61,63360,63480,120,37
0,61,63840,63960,120,45
0,61,64082,64200,118,37
0,61,66361,66480,119,41
0,61,66602,66720,118,41
0,61,67200,67680,480,54
0,61,68161,68640,479,54
0,61,69121,69361,240,63
0,61,72240,72360,120,34
0,61,72480,72720,240,39
0,61,73920,74400,480,35
0,61,80400,80460,60,30
0,61,86160,86400,240,32
0,61,90002,90132,130,40
0,61,90480,90600,120,26
0,61,90960,91082,122,28
0,61,91441,91560,119,26
0,61,91922,92042,120,30
0,61,93960,94092,132,42
0,61,105840,106081,241,27
0,61,106561,106802,241,32
0,61,107280,107520,240,26
0,61,109440,109681,241,34
0,61,111841,112082,241,30
0,61,113520,113761,241,27
0,61,114240,114481,241,32
0,61,114960,115080,120,26
0,61,118080,118560,480,30
0,61,124800,124920,120,39
0,61,126720,127201,481,41
0,61,127201,127321,120,35
0,61,127442,127560,118,29
0,61,130560,130680,120,37
0,61,131040,131160,120,45
0,61,131282,131400,118,37
0,61,133561,133680,119,41
0,61,133802,133920,118,41
0,61,134641,134762,121,36
0,61,134880,135000,120,35
0,61,135121,135241,120,29
0,61,138240,138360,120,37
0,61,138720,138840,120,45
0,61,138961,139080,119,37
0,61,141242,141361,119,41
0,61,141480,141600,120,41
0,61,142080,142560,480,54
0,61,143040,143520,480,54
0,61,144000,144240,240,63
0,61,147121,147241,120,34
0,61,147360,147600,240,39
0,61,148801,149280,479,35
0,61,162721,162960,239,36
0,61,165361,165480,119,42
0,61,165601,165840,239,53
0,61,174841,174960,119,39
0,61,175081,175200,119,38
0,61,175321,175440,119,39
0,61,175560,175680,120,38
0,61,178321,178440,119,34
0,61,178560,179520,960,37
0,61,208080,208201,121,55
0,61,209041,209160,119,57
0,61,211921,212040,119,56
0,61,212400,212520,120,57
0,61,227521,227762,241,34
0,61,228960,229200,240,30
0,61,231360,231840,480,33
0,61,235201,235442,241,34
0,61,235921,236041,120,28
0,61,239040,239280,240,31
0,61,243361,243481,120,54
0,61,255120,255240,120,39
0,61,257520,257640,120,30
0,61,258000,258120,120,30
0,61,258480,258602,122,32
0,61,258961,259081,120,30
0,61,259440,259561,121,28
0,61,268560,268620,60,30
0,61,274320,274561,241,32
0,62,960,1440,480,37
0,62,4081,4321,240,32
0,62,4560,4800,240,33
0,62,5041,5281,240,32
0,62,5760,6240,480,42
0,62,6720,7200,480,37
0,62,9841,10081,240,32
0,62,10320,10560,240,33
0,62,10801,11042,241,32
0,62,11520,11640,120,37
0,62,12000,12120,120,35
0,62,12480,12600,120,36
0,62,12960,13081,121,35
0,62,15000,15133,133,40
0,62,17522,17641,119,29
0,62,18000,18120,120,29
0,62,19200,19680,480,44
0,62,31440,31680,240,27
0,62,33120,33360,240,32
0,62,34320,34560,240,28
0,62,39120,39360,240,27
0,62,40800,41040,240,32
0,62,42721,43201,480,30
0,62,48960,49081,121,47
0,62,49200,49320,120,41
0,62,49440,49560,120,49
0,62,49681,49800,119,41
0,62,50881,51000,119,47
0,62,51120,51240,120,41
0,62,51361,51480,119,49
0,62,51600,51720,120,41
0,62,53760,53880,120,35
0,62,54240,54360,120,35
0,62,54720,54842,122,30
0,62,55200,55320,120,34
0,62,59160,59282,122,39
0,62,59401,59520,119,39
